,0,1,2,3
0,-355.6139157,11.18247815,1.682618524, zy
1,-347.9989661,-56.56118161,-0.131316748, zy
2,-351.3321833,-25.02627279,-61.32235396, zy
3,-340.0590135,-15.23687092,-17.1150458, zy
4,-341.1809362,-29.19891598,-30.14029045, early2cell
5,-346.2083057,-28.18662303,-16.19029598, early2cell
6,-346.1883034,-25.99840564,-19.74445163, early2cell
7,-347.1396848,-30.90981906,-22.60472763, early2cell
8,-338.7607023,-26.2000173,-20.95038385, early2cell
9,-349.4963696,-26.72461117,-21.83695989, early2cell
10,-347.7553828,-24.71287971,-23.24811184, early2cell
11,-345.0553586,-21.6997333,-27.8591089, early2cell
12,-277.6143902,-9.303627542,-20.5607816, mid2cell
13,-274.160332,-9.236264019,-12.38193401, mid2cell
14,-276.3244106,-8.664424243,-23.51380668, mid2cell
15,-270.8536105,-10.32740838,-13.85349482, mid2cell
16,-277.8208914,-15.33085265,-5.533019639, mid2cell
17,-261.8775592,-14.44634998,-11.47574965, mid2cell
18,-280.8982065,-20.58798361,-19.85624434, mid2cell
19,-288.9470364,-0.204585369,-20.83035618, mid2cell
20,-289.7167099,-10.45551521,-19.57153, mid2cell
21,-297.449499,-10.4292178,-15.03486532, mid2cell
22,-291.395801,-5.704333112,-15.35078214, mid2cell
23,-287.7741222,-18.14952056,-12.81090396, mid2cell
24,-272.6730213,-9.777345693,-15.97007772, late2cell
25,-260.311138,0.912293749,-18.3599225, late2cell
26,-255.2481881,0.016625796,-10.74037952, late2cell
27,-260.2422336,-10.83828782,-16.46097146, late2cell
28,-253.3314852,3.138724908,-18.05342791, late2cell
29,-251.0916088,-4.828848501,-13.76602703, late2cell
30,-263.1626181,-1.907579595,-12.70860019, late2cell
31,-260.2029611,-6.830615497,-26.06179801, late2cell
32,-247.4473389,0.359069688,-17.38368607, late2cell
33,-255.3438298,-4.763493687,-18.4027534, late2cell
34,-244.4832353,-6.019461478,-22.57680043, 4cell
35,-226.7061481,-1.162549783,-17.18324542, 4cell
36,-228.0567118,-8.801247261,-9.771728455, 4cell
37,-237.9102126,-7.309129259,-13.26313444, 4cell
38,-229.3760244,-5.038002716,-13.28939453, 4cell
39,-230.2626072,-9.102330894,-14.49905008, 4cell
40,-218.4600514,-4.372897467,-16.20335849, 4cell
41,-238.2680372,-2.122569155,-16.20159964, 4cell
42,-240.1747051,-3.905762423,-17.12497503, 4cell
43,-233.0347235,-8.622478235,-16.21857482, 4cell
44,-233.7424275,-8.099489167,-18.93226264, 4cell
45,-225.1919176,-7.463393701,-7.663008673, 4cell
46,-224.9722427,-0.807753127,-17.62990961, 4cell
47,-219.2365034,-10.98718292,-11.27325986, 4cell
48,-202.1943155,-4.093374715,-12.78009896, 8cell
49,-211.8021838,-8.561667363,-7.536664027, 8cell
50,-210.9568133,-9.938218367,-8.008525999, 8cell
51,-212.3721841,-8.265806274,-10.55506071, 8cell
52,-239.2314305,-25.03649889,-5.243127807, 8cell
53,-211.9150331,-11.2000436,-9.441560914, 8cell
