,0,1,2,3
0,124.1306466,58.50366891,-39.74054198, zy
1,124.7513557,60.24785006,-40.98824753, zy
2,127.3822585,59.91462361,-41.72964187, zy
3,122.4706499,57.63279856,-33.75168363, zy
4,133.7198625,61.89257716,-37.78792538, early2cell
5,131.2794299,60.8842449,-39.00488838, early2cell
6,131.516498,60.89298224,-39.18517339, early2cell
7,131.7763021,61.7896217,-37.97553424, early2cell
8,133.1338145,60.8508213,-35.2236676, early2cell
9,131.7389687,58.54247569,-36.95501047, early2cell
10,133.1888822,60.14480265,-32.01660628, early2cell
11,135.1675646,48.3544591,-24.24131482, early2cell
12,104.0180313,-16.17203399,33.91734018, mid2cell
13,107.7547976,-14.64968111,37.88035317, mid2cell
14,103.9421313,-14.76249305,35.29621622, mid2cell
15,104.0332532,-10.86124279,37.91515569, mid2cell
16,105.6082364,-20.7228945,37.41177381, mid2cell
17,98.12622612,-16.88068402,40.34335948, mid2cell
18,102.140536,-23.05923825,37.00937807, mid2cell
19,104.9584385,-19.14626592,30.5441382, mid2cell
20,115.1321026,14.10598054,22.05961778, mid2cell
21,115.8022698,7.874474467,21.93236601, mid2cell
22,111.9967197,-18.30298399,33.83722119, mid2cell
23,110.5684443,-20.37786903,32.56532794, mid2cell
24,73.71511593,-31.55449683,19.28109955, late2cell
25,68.39499118,-37.22849978,22.22180056, late2cell
26,90.99120756,-25.62239928,45.34313644, late2cell
27,79.70891692,-31.03779909,34.82356978, late2cell
28,68.4675296,-36.02533827,29.77947298, late2cell
29,79.73500938,-35.37206455,44.48096242, late2cell
30,84.32556583,-33.40703715,38.81650434, late2cell
31,76.02327564,-34.90130504,29.76813177, late2cell
32,65.13369581,-42.64096276,29.58591442, late2cell
33,74.78936851,-36.08052951,32.07079183, late2cell
34,46.10697563,-51.10484314,6.725296569, 4cell
35,33.08264506,-48.46047246,7.191996158, 4cell
36,33.48529008,-50.21045153,5.930598539, 4cell
37,41.46251231,-50.83729809,9.093155034, 4cell
38,23.17133865,-46.97644198,0.098696527, 4cell
39,24.76103527,-46.88672882,-7.52043123, 4cell
40,19.01288061,-44.95306788,-1.616131643, 4cell
41,26.79545376,-42.14021314,-5.202179475, 4cell
42,28.46140257,-44.03600875,-3.45684985, 4cell
43,28.68874186,-46.21198057,-7.524377232, 4cell
44,23.39997894,-43.81211444,-8.484538271, 4cell
45,32.29688093,-49.2247058,4.429675059, 4cell
46,36.10156569,-52.89670729,6.834100959, 4cell
47,30.94676868,-51.08187099,9.497563095, 4cell
48,-11.34174161,-31.37573087,-8.87768802, 8cell
49,-10.12546685,-29.0731808,-16.21032479, 8cell
50,-5.8777241,-25.96300305,-13.94292153, 8cell
51,-7.115898263,-31.49604496,-14.2268837, 8cell
52,4.498365454,1.822387402,-14.53535182, 8cell
53,-8.257601738,-30.14333862,-15.40330386, 8cell
54,-6.47036107,-30.58027938,-11.91484096, 8cell
55,-8.176931114,-37.20619671,-16.25925089, 8cell
56,-8.902453934,-36.74151512,-19.43501031, 8cell
57,-11.00169967,-33.36602826,-19.618031, 8cell
58,-7.661567229,-28.03465726,-20.28565244, 8cell
59,-6.495715695,-36.66148493,-18.34720057, 8cell
60,-8.221664411,-30.41846851,-16.97550258, 8cell
61,-4.236588729,-28.7763972,-17.47847796, 8cell
62,-7.823394112,-38.11950254,-13.50192616, 8cell
63,-7.151975267,-29.66410355,-12.15484247, 8cell
64,-11.17074713,-37.11659805,-11.19154528, 8cell
65,-6.499057743,-33.58140841,-15.33236814, 8cell
66,-8.886848523,-31.64087166,-13.47144933, 8cell
67,-6.396031509,-33.80261289,-9.062069156, 8cell
68,-5.740552788,-32.9744411,-13.54956222, 8cell
69,-6.968599712,-26.83199087,-20.4297941, 8cell
70,-6.044107622,-26.05122803,-21.11260691, 8cell
71,-5.631767675,-29.03160684,-21.28757266, 8cell
72,-4.079159791,-28.72008062,-17.63950121, 8cell
73,-6.83305822,-31.12260918,-14.42412792, 8cell
74,-9.296787213,-31.40858316,-18.95546734, 8cell
75,-8.390539497,-32.96736608,-15.92056796, 8cell
76,-19.18247412,-23.10387766,-8.937732222, 16cell
77,-14.38067714,-18.00724777,-18.60308778, 16cell
78,-17.26525404,-18.69596309,-14.40443097, 16cell
79,-16.17116383,-16.424743,-17.46809687, 16cell
80,-36.92379192,-21.61095396,21.48512403, 16cell
81,-16.00751832,-23.65483201,-16.22783789, 16cell
82,-14.82322889,-24.40493066,-17.55026993, 16cell
83,-17.69580748,-18.41895995,-12.01691306, 16cell
84,-19.89614979,-19.97539786,-16.20561372, 16cell
85,-22.7338358,-22.51952665,-15.88616732, 16cell
86,-17.53357906,-24.43152462,-1.856090106, 16cell
87,-21.22188571,-19.88985145,-10.50660177, 16cell
88,-13.65022719,-25.33343216,-14.78520057, 16cell
89,-16.84219621,-21.60259939,-17.55238253, 16cell
90,-14.53358316,-22.8483226,-21.66188851, 16cell
91,-16.31276234,-18.87564985,-18.28561328, 16cell
92,-17.90945909,-23.6373774,-16.77361749, 16cell
93,-29.44009281,-22.71399464,13.47963646, 16cell
94,-20.24559794,-22.27427006,-4.153259928, 16cell
95,-13.57309362,-27.63107363,-14.68567112, 16cell
96,-11.56379755,-25.99872644,-20.11329312, 16cell
97,-11.72496238,-24.66362222,-18.1866632, 16cell
98,-16.95907766,-23.45707284,-18.7604923, 16cell
99,-13.44500856,-20.67540596,-20.2532236, 16cell
100,-14.71938888,-24.70662816,-8.587696937, 16cell
101,-19.6871107,-30.02156906,2.207572156, 16cell
102,-21.51787152,-29.67763148,-6.012834252, 16cell
