Gene,p53_mock_1,p53_mock_2,p53_mock_3,p53_mock_4,p53_IR_1,p53_IR_2,p53_IR_3,p53_IR_4,null_mock_1,null_mock_2,null_IR_1,null_IR_2
  0610009B22Rik,6.9015,6.5521,7.1273,6.6263,6.6324,6.5946,7.6267,7.3277,6.733,6.6733,7.9723,7.3814
  0610009L18Rik,6.7102,6.6991,6.5677,7.0175,6.2042,6.245,6.9383,7.1188,7.0776,7.2309,6.5366,6.6084
  0610040J01Rik,5.3953,5.3363,5.7503,5.8172,6.1233,5.7826,5.6543,5.1112,5.6811,5.821,4.3179,4.9472
  1110002E22Rik,2.2158,2,2,2.2725,4.2289,5.7322,3.7598,2.3988,2.4728,2,3.4374,3.7828
  1110004E09Rik,7.2827,7.0421,7.2527,7.063,7.6228,7.5788,7.7323,8.0502,7.0097,7.2559,9.3336,9.1223
  1110008F13Rik,9.964,9.7189,9.8735,9.7517,9.7063,9.6641,10.0417,9.8687,9.7023,9.8189,11.0034,10.2958
  1110012L19Rik,7.8929,7.5391,7.567,7.474,9.2936,8.9694,9.7579,9.8549,7.7427,7.8666,8.4093,8.0772
  1110059E24Rik,10.7113,10.6975,10.8237,10.8198,10.3421,10.413,10.4986,10.4756,10.9269,10.9145,10.8445,10.5041
  1110065P20Rik,6.3016,6.0264,6.308,6.1229,6.6518,6.5073,7.147,7.196,6.4682,6.3092,7.9122,7.4434
  1500011K16Rik,7.1643,6.9726,7.2527,6.9018,7.2686,7.2065,8.36,8.0151,7.2855,7.39,8.6327,8.3782
  1500015O10Rik,3.9653,3.5539,3.3019,4.3073,3.4202,3.2738,4.1405,3.9506,4.0364,3.8586,4.6147,4.6053
  1700001J03Rik,3.6313,3.4555,2.5739,3.4131,5.0662,4.3934,4.0244,4.4481,3.4568,3.21,4.6147,4.6987
  1700001J11Rik,7.2827,7.5689,7.0864,7.5781,7.2304,7.169,7.317,7.4999,7.6398,7.5536,6.936,6.4696
  1700001K19Rik,5.181,5.2212,5.2179,5.4009,4.3285,4.5177,5.0284,4.6074,5.3655,4.8337,5.5974,5.0919
  1700001P01Rik,3.9653,3.965,3.6773,4.5314,4.1218,4.9293,5.1442,5.3993,3.5553,4.5399,6.0827,5.3439
  1700007K13Rik,2,2.2553,2,2,8.5212,8.3628,9.5107,9.6778,2,2,2,2
  1700010I14Rik,7.0773,7.2175,6.9333,6.7317,6.7449,6.8988,6.5754,6.6732,7.1967,7.3595,6.6057,6.5469
  1700011H14Rik,2.8535,2.8274,2.3153,3.2958,4.6699,5.9684,4.6121,2.9672,2.9778,2.9073,5.8462,4.7432
  1700016C15Rik,3.0907,3.3499,3.1514,3.2958,4.6699,4.9293,4.3479,3.9506,3.4568,3.21,5.7879,5.0571
  1700019D03Rik,8.4406,8.7032,8.6672,8.6128,7.8494,7.621,7.5129,7.6629,8.3719,8.1814,8.9509,8.4604
  1700020A23Rik,2,2.4722,2.5739,3.2958,3.0041,4.7381,3.0163,3.1849,2.4728,3.21,3.8329,3.7828
  1700020D05Rik,6.1127,6.6331,6.3774,6.6974,5.7446,5.8314,5.574,5.2137,6.733,6.4887,5.7578,5.5333
  1700023F06Rik,4.0799,3.965,4.1439,5.0489,2.7403,4.5177,3.6067,3.6909,4.0364,4.8773,3.8329,3.6949
  1700024B05Rik,2,2.2553,2.7931,2,4.0062,5.0981,2,2.9672,2,2,2,2.2671
  1700025C18Rik,2.5696,2.2553,2.7931,2.6992,5.0072,6.4461,4.2479,3.6909,2,2.9073,3.9438,4.5055
  1700029H14Rik,4.0799,4.3949,3.8824,4.7699,6.5522,7.071,5.9372,5.5243,4.5948,5.0776,5.4918,5.0214
  1700030K09Rik,9.6,9.7633,9.5609,9.6449,9.2843,9.3498,9.6097,9.7349,9.6279,9.6133,11.1342,9.9033
